"ID";"Bezeichner";"Gehäuse";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"J10";"PhoenixContact_GMSTBVA_2,5_2-G-7,62_1x02_P7.62mm_Vertical";1;"Power_Heat";;;
2;"J3";"PhoenixContact_GMSTBVA_2,5_2-G-7,62_1x02_P7.62mm_Vertical";1;"Power_IN";;;
3;"J1";"PinHeader_1x03_P2.54mm_Vertical";1;"SPI";;;
4;"U2";"LQFP-64_10x10mm_P0.5mm";1;"STM32F103RETx";;;
5;"Y1";"Crystal_SMD_5032-2Pin_5.0x3.2mm";1;"Crystal";;;
6;"R22,R21,R18,R12";"R_1206_3216Metric";4;"4K7";;;
7;"R17,R11";"R_1206_3216Metric";2;"100";;;
8;"R3,R7";"R_1206_3216Metric";2;"10K";;;
9;"R2";"R_1206_3216Metric";1;"1K";;;
10;"Q3";"TO-263-3_TabPin2";1;"HUF76639S3ST";;;
11;"Q2";"SOT-23";1;"PMV40UN2";;;
12;"Q1";"TO-263-3_TabPin2";1;"HY4903B";;;
13;"J60";"PinHeader_1x04_P2.54mm_Vertical";1;"e0-Stepper";;;
14;"J52";"PinHeader_2x03_P2.54mm_Vertical";1;"J_Y";;;
15;"J51";"PinHeader_2x03_P2.54mm_Vertical";1;"J_X";;;
16;"J50";"PinHeader_2x03_P2.54mm_Vertical";1;"J_E0";;;
17;"J49";"PinHeader_2x03_P2.54mm_Vertical";1;"J_Z";;;
18;"J46";"PinHeader_1x02_P2.54mm_Vertical";1;"3.3V";;;
19;"J45";"PinHeader_1x02_P2.54mm_Vertical";1;"5V";;;
20;"J44,J9";"PinHeader_1x04_P2.54mm_Vertical";2;"z-Stepper";;;
21;"J43";"PinHeader_1x02_P2.54mm_Vertical";1;"VCC";;;
22;"J39";"PinHeader_1x04_P2.54mm_Vertical";1;"y-Stepper";;;
23;"J33";"PinHeader_1x04_P2.54mm_Vertical";1;"x-Stepper";;;
24;"J31";"PinHeader_1x04_P2.54mm_Vertical";1;"Serial";;;
25;"J30";"PinHeader_2x05_P2.54mm_Vertical";1;"EXP2";;;
26;"J29";"PinHeader_2x05_P2.54mm_Vertical";1;"EXP1";;;
27;"J28";"PinHeader_1x07_P2.54mm_Vertical";1;"SD_CARD";;;
28;"J17";"PinHeader_1x03_P2.54mm_Vertical";1;"X-";;;
29;"J16";"PinHeader_1x03_P2.54mm_Vertical";1;"MAX_END";;;
30;"J15";"PinHeader_1x03_P2.54mm_Vertical";1;"Y-";;;
31;"J14";"PinHeader_1x03_P2.54mm_Vertical";1;"EXP3";;;
32;"J13";"PinHeader_1x03_P2.54mm_Vertical";1;"Z-";;;
33;"J12";"PinHeader_1x03_P2.54mm_Vertical";1;"BOOT";;;
34;"J8";"PinHeader_1x02_P2.54mm_Vertical";1;"Fan_Cooler";;;
35;"J7";"PinHeader_1x03_P2.54mm_Vertical";1;"SV1";;;
36;"J6";"PinHeader_1x03_P2.54mm_Vertical";1;"TH_B";;;
37;"J5";"PhoenixContact_MCV_1,5_2-G-5.08_1x02_P5.08mm_Vertical";1;"Hotend";;;
38;"J2";"PinHeader_1x03_P2.54mm_Vertical";1;"TH_E";;;
39;"F2";"Fuseholder_Blade_ATO_Littelfuse_Pudenz_2_Pin";1;"F_Heatbed_15A";;;
40;"F1";"Fuseholder_Blade_ATO_Littelfuse_Pudenz_2_Pin";1;"Fuse_Power";;;
41;"D11,D8,D2";"D_SOD-123";3;"1N5819";;;
42;"C26,C24,C22,C20";"CP_Elec_6.3x7.7";4;"100uF";;;
43;"C18,C13,C10,C9,C8,C7,C6,C1";"C_1206_3216Metric";8;"100nF";;;
44;"C17,C14";"C_0603_1608Metric";2;"20pF";;;
45;"C16,C15,C11,C19";"C_1206_3216Metric";4;"10uF";;;
46;"C12,C3,C4";"C_0805_2012Metric";3;"1uF";;;
47;"A4,A3,A2,A1";"Pololu_Breakout-16_15.2x20.3mm";4;"Pololu_Breakout_A4988";;;
48;"H1,H2,H3,H4";"MountingHole_3.2mm_M3";4;"MountingHole";;;
49;"SW1";"SW_Push_SPST_NO_Alps_SKRK";1;"SW_Push";;;
50;"C2";"C_1206_3216Metric";1;"4.7uF";;;
51;"C5";"C_0603_1608Metric";1;"33pF";;;
52;"D1";"D_SMA";1;"B140-13-F";;;
53;"L1";"L_1812_4532Metric";1;"4.7uH";;;
54;"R1";"R_1206_3216Metric";1;"124K";;;
55;"R4";"R_1206_3216Metric";1;"23K7";;;
56;"U1";"SOT-23-6";1;"MP2451";;;
57;"U3";"SOT-23-5";1;"RT9013-33GB";;;
58;"R5";"R_1206_3216Metric";1;"100K";;;
